Name,Address,Productor,PorpertyCompany,Start-Time,Type,Delivery-Time,Plot-Ratio,LimitOfusingTime,Green-Rate,Planning-homesNum,Property-fee,Floor-Area,Building-Area,Price,DanWei
大宁揽翠艺墅,闸北－广延路1099弄,上海东北明园实业发展有限公司,明森物业有限公司,2015-10-01-,别墅,待定,0.65,70年,36%,72,5,82700,54,120000,元/平
中山学林苑,定西路1310弄16号,颐丰（上海）有限公司,上海瑞强物业管理有限公司,2017-10-08-,住宅,2017-12-30-,2.70,70年,35%,120,3,8350,21,84400,元/平米
源昌幸福里,青浦崧泉路782号,上海源昌置业有限公司,泰安宝龙商业物业管理有限公司,2016-10-15-,住宅,2018-06-01-,2.50,70年,32%,545,3.2,27388,84,42000,元/平
禹洲丁香里,澄浏公路路唐家浜路路口,上海舜鸿房地产开发有限公司,禹洲物业服务有限公司上海分公司,2017-04-26-,住宅,2018-12-,1.80,70年,36%,532,3.1,31139,56,32000,元/平
恒大御澜庭,淀山湖大道复兴路路口,上海丰涛置业有限公司,恒大金碧物业,2017-05-14-,别墅,2018-12-,0.50,70年,35%,1200,3,350000,175,41000,元/平
桃李春风景苑,海宁尖山新区新城路东侧钱塘江路北侧,海宁绿金置业有限公司,海宁家和物业服务有限公司,2017-11-11-,住宅,2019-12-30-,1.46,70年,33%,766,1.8,43800,80,9500,元/平米
金地世家,合作路199弄,上海嘉金房地产发展有限公司,上海金地物业服务有限公司,2017-09-21-,住宅,2018-12-,1.75,70年,35%,917,3.2,61589,108,43500,元/平
源昌幸福里,青浦崧泉路782号,上海源昌置业有限公司,泰安宝龙商业物业管理有限公司,2016-10-15-,住宅,2018-06-01-,2.50,70年,32%,545,3.2,27388,84,42000,元/平
信达蓝尊,"长水街277弄,长水街01-08.11-14.16-19号",上海松江信达银瓴置业有限公司,上海万科物业有限公司,2018-01-19-,住宅,2017-12-,2.00,70年,35%,1085,3.5,46868,125,42500,元/平
宝业爱多邦,崧淀二路99号,上海宝悦房地产开发有限公司,上海卓越物业管理有限公司,2017-02-14-,住宅,预计2018-09-,2.00,70年,35%,596,3.5,27938,83,42000,元/平
阳光星期八,解放东路588号,上海丰翰房地产开发有限公司,上海阳光工联物业管理有限公司,2017-11-28-,住宅,2019-12-30-,2.00,70年,35%,422,3.2,130000,270,37500,元/平
保利建工西郊锦庐,业文路189弄,上海启贤置业有限公司,上海保利翰物业管理,预计2016-10-,别墅,2018-12-,1.02,70年,35%,1026,4.3,115934,118,,
华润中央公园(浩翔路98弄),浩翔路98弄,华润(上海)房地产开发有限公司,华润置地（上海）物业管理有限公司,2016-05-,住宅,2016-12-,1.31,70年,35%,1679,4,260000,460,53000,元/平
佳兆业城市广场(商业类),胜竹东路3850号/胜竹东路3870号,上海嘉湾兆业房地产有限公司,佳兆业物业集团,2017-12-,商铺,2017-12-,1.80,40年,35%,476,20,117257,290,32000,元/平米
绿地海珀玉晖,普陀-白玉路678弄,上海绿地新龙基置业有限公司,上海时和南都物业管理有限公司,2016-08-27-,住宅,待定,3.64,70年,30%,189,4.5,4434,33,105000,元/平
大华伊斐墅,浦东-成山路1396号,上海锦绣华城房地产开发有限公司,上海浦华物业管理有限公司,2016-10-08-,别墅,2018-08-30-,0.80,70年,35%,156,3.1,15000,12,4380,万/套
万科公园大道,富卓路789弄,上海郡科投资管理有限公司,上海万科物业服务有限公司,2018-01-19-,住宅,2018-05-,2.40,70年,35%,1976,3.9,81044,230,46500,元/平
经纬城市绿洲,宝山-纬地路99弄（沪太路纬地路路口）,经纬置地有限公司,现代智能物业管理(上海)有限公司,2016-09-12-,住宅,2017-12-,1.22,70年,45%,3911,1.55,195000,240,50000,元/平
绿城上海诚园,云樱路199弄,上海临港奉贤置业有限公司,上海绿城物业有限公司,预计2017-10-,住宅,2018-12-,1.60,70年,30%,1446,4.2,89745,208,23000,元/平
碧桂园嘉誉,启悦路700弄,碧桂园（上海）房地产开发有限公司,碧桂园物业,2016-10-26-,住宅,2017-12-,1.20,70年,35%,680,3,62443,105,32500,元/平
泰禾大城小院,凤凰公路与潘园公路交叉口,上海禾柃房地产开发有限公司,泰禾物业,2018-02-03-,别墅,2020-06-30-,1.50,70年,35%,2800,7.9,200000,420,,
万科UniCity天空之城,诸陆西路966号（近徐盈路）,上海广欣投资发展有限公司,上海万科物业管理有限公司,2017-12-,住宅,预计2018-09-,1.60,70年,35%,2299,3.95,260118,538,59800,元/平
东亚启航公馆,航城三路518弄,上海硕日旷宇投资有限公司,北京东亚时代物业管理有限公司,2016-05-27-,住宅,2017-07-30-,1.20,70年,35%,686,2.8,47565,72,,
桐南美麓,奉贤金海公路广丰路交汇处,上海励治房地产开发有限公司,东原物业,2018-01-21-,住宅,2018-12-,1.80,70年,35%,1646,3.3,87916,158,33000,元/平米
长泰西郊,松江-泗砖南路1500号,上海德基置业有限公司,上海金晨物业经营管理有限公司,2015-11-30-,别墅,预计2018-07-,0.38,70年,38%,220,6,400000,36,,
御岛财富,崇明－长兴岛凤蓉路455弄（长兴派出所旁）,上海东毅置业发展有限公司,上海华轩房地产发展有限公司,2017-03-01-,住宅,2015-09-30-,1.20,70年,45%,251,2.5,36377,70,36500,元/平
季景铭郡,嘉定-南翔镇古猗园南路355弄,上海吉翔置业有限公司,狮城怡安（上海）物业管理有限公司,2016-09-03-,住宅,2016-08-,1.80,70年,35%,1272,2.7,72000,133,,
浦东星河湾,浦东-锦绣路2580弄,上海浦东星河湾房地产开发有限公司,星河湾物业,2016-09-10-,住宅,2016-09-10-,1.72,70年,48%,531,4.9,200000,95,105000,元/平
御龙名邸,海丰路128弄,上海山阳房产开发有限公司,上海海尚物业管理有限公司,2016-09-30-,住宅,2016-01-01-,0.67,70年,39%,864,0.75,49971,70,22000,元/平
凤凰景苑,闵行-景谷中路58弄（近石屏路）,上海闵行置业发展有限公司,上海莘旺物业管理有限公司,2016-06-05-,住宅,2017-08-30-,1.68,70年,38%,1640,2.8,230000,320,50000,元/平
静安府,平陆路999弄,上海华泓钜盛房地产开发有限公司,华润物业有限公司,预计2017-09-,住宅,2018-12-,2.65,70年,35%,2835,6.9,163512,670,,
浦发罗兰翡丽,浦东－玉盘北路281弄,上海浦东发展置业有限公司,上海绿城物业有限公司,2016-11-15-,住宅,2017-12-16-,1.70,70年,35%,1929,4.5,122000,202,66000,元/平
路劲上海派,嘉定-荣轩路60弄、双浦路70弄,上海隽安置业有限公司,上海路劲物业管理有限公司,2017-02-26-,住宅,2018-06-30-,2.00,70年,35%,797,2.45,72378,187,,
华侨城,普陀-西康路989弄,上海万锦置业发展有限公司,华侨城物业管理有限公司,2017-12-01-,住宅,2017-01-20-,3.31,70年,35%,548,4.3,40148,340,,
半岛君望,奉贤-八字桥路99弄(近环城东路),上海绿庭四季花城房地产开发有限公司,上海紫泰物业管理有限公司,2012-07-21-,别墅,2014-05-23-,0.22,70年,45%,82,6.62,156676,34,,
中建大公馆,杨浦－江湾城路899号（近国秀路）,中国中建地产有限公司,北京中建物业管理有限公司,2015-06-27-,别墅,2015-12-,1.00,70年,35%,418,6,114571,110,5500,万/套
尼德兰官邸,莱阳路3777弄,上海新高桥开发有限公司,上海同进物业服务有限公司,2016-03-29-,别墅,2015-11-30-,1.00,70年,35%,263,5.3,65835,65,1800,万/套
华润佘山九里,松江-古楼公路519弄、古楼公路659弄,华润超智房地产开发有限公司,华润置地（上海）物业管理有限公司,2016-10-01-,别墅,待定,1.00,70年,35%,539,4.2,121719,121,,
正荣国领(别墅),宝山-抚远路1211号（抚远路近美诺路）,正荣御园（上海）置业发展有限公司,正荣物业,2015-12-12-,别墅,2018-06-30-,1.01,70年,35%,555,4,110022,112,1073,万/套
仁恒公园世纪,浦东-银融路88弄,上海仁品房地产开发有限公司,上海仁恒物业管理有限公司,2017-05-06-,住宅,2017-12-,2.66,70年,39%,700,5.3,55775,210,2500,万/套
盛世豪园(二期),杨浦－闸殷路889弄（近殷高东路）,上海军华置业有限公司,上海安得物业管理有限公司,2017-04-30-,住宅,2016-07-,2.00,70年、50年,35%,978,5.1,360952,758,83300,元/平
尚汇豪庭,徐汇-华石路88弄,上海凯峰房地产开发有限公司,上海古北物业有限公司,2017-01-05-,住宅,预计2018-12-,2.20,70年,45%,1390,5.5,117900,260,,
华发四季,浦东-勤政路88弄,上海铧发创盛置业有限公司 ,第一太平戴维斯物业顾问(上海)有限公司,2016-10-,住宅,待定,2.00,70年、40年,35%,695,5.8,45992,139,,
嘉天汇,静安－新闸路1999弄,上海嘉申房地产开发经营有限公司,第一太平戴维斯,2015-10-24-,住宅,2015-09-30-,3.68,70年,30%,395,14.8,38000,140,,
朗诗未来街区,奉贤-北行路555弄（浦星公路大叶公路口向西至金碧路）,上海朗铭房地产开发有限公司,南京朗诗物业管理有限公司,2017-12-30-,住宅,2017-12-,2.00,70年,35%,2061,2.9,82405,234,,
恒大帝景,松江-茸兴路茸北路交汇处,上海松裕置业有限公司,上海金碧物业管理有限公司,2016-05-01-,住宅,2018-06-30-,1.60,70年、40年,35%,774,3,69936,153,,
毕加索花园小镇,金山-康德路358弄,上海金山华飞房地产有限公司,上海东郊皇廷有限公司,2014-10-18-,住宅,待定,1.00,70年,35%,953,2.2,110284,112,21000,元/平
万科翡翠滨江(一期),浦东-滨江大道399弄,上海中房滨江房地产有限公司,上海万科物业服务有限公司,2015-10-15-,住宅,2016-12-,2.76,70年,30%,488,9.6,46716,206,5700,万/套
上实滨湖和墅,青浦-绿湖路599弄,上海丰茂置业有限公司,上海上实物业管理有限公司,2017-12-,别墅,2015-09-30-,0.30,70年,45%,400,5,91595,43,,
